State_ID,Visit_Count
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 0.0, 0.0, 0.0, 0.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 0.0, 0.0, 0.0, 1.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 0.0, 0.0, 0.0, 0.0, 2417.196)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 877.953, 0.0, 0.0, -1.0, 2417.196)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 877.953, 0.0, 0.0, 0.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 877.953, 0.0, 0.0, 1.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.333, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 854.975, 0.0, 0.0, 0.0, 2417.196)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 1510.979, 0.0, 0.0, -1.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2386.332, 0.0, 0.0, 1.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2389.879, 0.0, 0.0, 0.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2438.795, 0.0, 0.0, 0.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 1563.442, 0.0, 0.0, 0.0, 2417.196)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 1379.367, 0.0, 0.0, -1.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 1461.55, 0.0, 0.0, 1.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2140.88, 0.0, 0.0, 0.0, 2417.196)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.333, 0.0, 0.333, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1779.104, 0.0, 0.0, 0.0, 2084.048)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.333, 0.0, 0.667, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1550.044, 0.0, 0.0, 0.0, 2084.048)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.667, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1645.126, 0.0, 0.0, 1.0, 2084.048)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1715.06, 0.0, 0.0, -1.0, 2084.048)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1538.931, 0.0, 0.0, 0.0, 2084.048)",10
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1526.536, 0.0, 0.0, 0.0, 2084.048)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1611.394, 0.0, 0.0, 1.0, 2084.048)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1321.9, 0.0, 0.0, -1.0, 2084.048)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 555.544, 0.0, 0.0, 0.0, 2084.048)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 0.0, 0.0, 0.0, 0.0, 2084.048)",10
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 0.0, 0.0, 0.0, 0.0, 2084.048)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.333, 0.0, 0.333, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 0.0, 0.0, 0.0, 0.0, 2084.048)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.333, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 814.985, 0.0, 0.0, 0.0, 2084.048)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1296.91, 0.0, 0.0, 1.0, 2084.048)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 1296.91, 0.0, 0.0, -1.0, 2084.048)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 481.925, 0.0, 0.0, 0.0, 2084.048)",10
